Sample,X,Y,Z
623,-0.2000,0.6282,-0.2098
624,-0.1409,1.5341,-0.3569
625,0.3268,1.5811,-0.1639
626,-0.0932,1.0772,0.3062
627,0.0176,0.8231,0.2402
628,-0.2061,0.5053,0.1078
629,0.1364,1.3723,-0.2283
630,0.3715,1.2122,-0.3669
631,0.0151,0.4238,0.0732
632,0.0038,0.3577,0.2465
633,-0.0351,0.4675,0.0193
634,-0.3364,1.4792,-0.0976
635,0.0917,1.8651,-0.1115
636,0.2195,0.8933,-0.0909
637,-0.0590,0.6984,-0.0571
638,0.0747,0.3093,-0.1518
639,-0.1868,0.5854,0.2012
640,-0.0033,1.2676,-0.1071
641,0.7255,1.9385,-0.2386
642,0.1782,0.7333,-0.0286
643,-0.2808,0.5329,0.3007
644,-0.2317,0.5812,-0.1379
645,-0.4287,1.0841,-0.1978
646,0.4201,1.9125,0.0419
647,0.6337,1.5542,0.1785
648,-0.2581,0.7830,0.2682
649,-0.5310,0.3801,-0.0212
650,-0.1912,0.9430,-0.3729
651,0.4185,1.4259,-0.1582
652,0.5271,0.6912,0.0651
653,-0.0253,0.1064,0.0233
654,-0.1701,0.2895,-0.0725
655,0.0920,1.6365,-0.0405
656,0.0762,1.7778,-0.1813
657,-0.1273,0.7767,-0.1333
658,-0.1647,0.6136,0.1879
659,-0.2229,0.5920,0.0795
660,0.0393,1.1605,-0.0534
661,0.6014,1.8746,-0.0552
662,0.4027,1.1390,0.0656
663,0.1031,0.5927,0.1225
664,-0.1002,0.4827,-0.1121
665,-0.4517,0.6918,-0.0593
666,-0.0385,1.3886,-0.0854
667,0.1868,1.5248,-0.1236
668,0.0760,1.1946,0.0209
669,-0.3383,0.7605,0.0331
670,0.0067,0.6323,-0.0748
671,0.1896,0.7226,-0.2230
672,0.3507,1.0605,-0.0092
673,0.3583,1.2486,0.1760
674,-0.2747,0.8440,0.0637
675,-0.3477,0.7454,-0.0357
676,-0.0908,0.9058,-0.0520
677,0.3354,1.3331,0.1597
678,0.3222,1.3009,0.1831
679,-0.0295,0.6065,0.0218
680,-0.3214,0.5369,-0.0093
681,-0.1509,0.9819,-0.0557
682,0.3517,1.6432,-0.0398
683,0.3221,1.2939,-0.0157
684,-0.0222,0.5354,-0.1072
685,-0.2916,0.7224,-0.1888
686,-0.0342,1.2015,-0.2817
687,0.2275,1.0862,-0.2204
688,0.0211,0.9387,-0.1135
689,-0.0908,0.6308,-0.0591
690,-0.2244,0.7413,-0.0081
691,0.2155,1.3110,-0.0587
692,0.7480,1.4070,-0.0461
693,0.2741,0.9761,0.1551
694,-0.0013,1.0588,0.2043
695,-0.4681,0.5762,-0.0923
696,-0.5212,0.8869,0.0508
697,0.0331,1.3011,0.0930
698,0.2601,0.9789,0.0795
699,0.2598,0.7756,0.2277
700,-0.0493,0.6006,-0.0515
701,-0.2147,1.0743,-0.4001
702,0.3195,1.3231,-0.2408
703,0.2075,1.1058,-0.0412
704,0.2534,0.8669,0.0610
705,-0.2060,0.5716,-0.0497
706,-0.5290,0.9056,-0.0107
707,0.1071,1.5962,-0.1749
708,0.3605,1.4797,-0.1374
709,0.1252,1.0131,0.1807
710,-0.0201,0.5287,0.1484
711,-0.1335,0.3598,0.0714
712,0.0492,1.0708,-0.0461
713,0.3094,1.3510,0.0669
714,0.1400,1.2825,0.1540
715,-0.2988,0.4665,-0.0123
716,-0.2650,0.3338,-0.0396
717,0.0554,1.3235,0.0075
718,0.6308,1.9672,-0.1744
719,0.1315,1.2241,-0.1716
720,-0.4343,0.0580,-0.1058
721,-0.2601,0.5640,-0.0254
722,0.0690,0.8030,-0.2876
723,0.4238,1.6465,-0.1392
724,0.5818,1.2624,0.1169
725,-0.2975,0.4139,0.0122
726,-0.4094,0.6333,-0.0883
727,-0.0493,1.2565,-0.0820
728,0.1448,1.6108,0.0638
729,0.2199,1.1928,0.1269
730,0.2881,0.7192,0.2032
731,-0.2749,0.5335,0.1747
732,-0.0134,0.9802,-0.0660
733,0.0299,1.3094,-0.2310
734,0.1306,1.3552,-0.0587
735,0.1852,0.8234,0.0122
736,-0.1851,0.4321,0.0203
